,source_id,clean_tmass_psc_xsc_oid,Unnamed: 0,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
18332869-0912091,4156287376166011648,263016703,48,0.043918,48,49,,18 33 28.70,-09 12 09.19,11.2,1.1,58.3,0.4,M3,---,Simbad,278.3695833333333,-9.202552777777775,278.369571,-9.202552,0.07,0.06,0,8.092,6.028,4.977,0.02,0.026,0.016,AAA,111,0,2451297.912
18334444-0659474,4255908352311104384,270482546,49,0.011937,49,50,,18 33 44.45,-06 59 47.41,6.1,2.9,49.8,0.7,M1,M7,Simbad,278.4352083333333,-6.996502777777778,278.435205,-6.996503,0.07,0.06,0,7.238,5.465,4.661,0.026,0.031,0.018,AAA,111,0,2451297.9104
18340471-0907176,4156289815707368832,263293530,50,0.028663,50,51,,18 34 04.71,-09 07 17.67,9.0,1.7,47.0,2.2,M0,M7,Simbad,278.519625,-9.121575,278.519633,-9.121574,0.06,0.06,90,8.548,6.237,5.124,0.026,0.036,0.018,AAA,111,0,2451297.9165
18340713-0905535,4156290159304769408,263373422,51,0.013089,51,52,,18 34 07.13,-09 05 53.58,12.8,0.8,53.5,1.0,M2,---,Simbad,278.5297083333333,-9.098216666666668,278.529712,-9.098217,0.06,0.06,90,8.527,6.297,5.153,0.026,0.04,0.02,AAA,111,0,2451297.9165
18351346-0744581,4156743432971734016,267955960,52,0.025085,52,53,,18 35 13.47,-07 44 58.14,6.7,4.1,40.7,1.1,K4.5,M6,Simbad,278.80612499999995,-7.749483333333333,278.806118,-7.749484,0.06,0.06,90,7.224,5.484,4.653,0.03,0.051,0.026,AAA,111,0,2451297.9272
18352902-0721126,4252878476232112384,269289256,53,0.019042,53,54,,18 35 29.03,-07 21 12.60,6.9,4.6,55.2,0.8,M2.5,---,Simbad,278.87095833333325,-7.353499999999999,278.870953,-7.3535,0.06,0.06,90,9.926,6.967,5.552,0.025,0.023,0.023,AAA,211,0,2451363.6072
18353475-0756485,4156719930910238720,267290527,54,0.043975,54,55,,18 35 34.76,-07 56 48.52,3.3,1.8,47.0,1.5,M0,M7,Simbad,278.8948333333333,-7.946811111111112,278.894821,-7.946811,0.06,0.06,90,9.101,6.404,5.125,0.025,0.027,0.023,AAA,211,0,2451363.6068
18354911-0734430,4252823500650937216,268530303,55,0.034498,55,56,,18 35 49.12,-07 34 43.09,0.8,1.8,49.9,0.5,M1,M7,Simbad,278.95466666666664,-7.578636111111111,278.954657,-7.578636,0.06,0.06,90,8.564,6.009,4.801,0.021,0.021,0.02,AAA,111,0,2451363.607
18355151-0730113,4252825081198652544,268785741,56,0.034539,56,57,,18 35 51.52,-07 30 11.36,1.5,0.4,59.0,0.6,M3.5,---,Simbad,278.96466666666663,-7.503155555555556,278.964657,-7.503156,0.11,0.06,90,9.986,6.508,4.776,0.025,0.021,0.018,AAA,211,0,2451363.6098
18374651-0712245,4252860952759814016,269779084,57,0.009617,57,58,,18 37 46.52,-07 12 24.60,6.0,2.4,51.7,0.5,M1.5,---,Simbad,279.4438333333333,-7.206833333333334,279.443831,-7.206832,0.07,0.06,0,9.836,7.051,5.622,0.025,0.017,0.02,AAA,211,0,2451363.629
