,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,2MASS,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
62,0.002676,62,63,,18 42 44.80,-04 33 57.39,4.2,4.3,48.7,1.1,M0.5,M7,Simbad,280.6866666666666,-4.565941666666666,18424479-0433573,280.686666,-4.565942,0.06,0.06,90,7.141,5.428,4.632,0.026,0.04,0.021,AAA,111,0,2451312.8368
63,0.005086,63,64,,18 42 52.23,-03 46 18.48,0.2,1.1,55.6,0.7,M2.5,---,Simbad,280.71762499999994,-3.7718,18425222-0346184,280.717624,-3.771799,0.06,0.06,90,9.255,6.522,5.24,0.026,0.034,0.018,AAA,211,0,2451312.8373
64,0.06824,64,65,,18 43 08.01,-03 56 24.05,0.8,0.4,55.3,0.9,M2.5,---,Simbad,280.7833749999999,-3.940013888888889,18430800-0356240,280.783356,-3.940014,0.06,0.06,90,11.729,8.107,6.336,0.023,0.038,0.021,AAA,211,0,2451312.8436
65,0.064822,65,66,a,18 44 26.16,-03 35 27.61,0.1,3.8,48.9,0.7,M0.5,M7,Simbad,281.109,-3.5910027777777778,18442616-0335276,281.109018,-3.591004,0.06,0.06,90,8.576,6.19,5.069,0.021,0.051,0.021,AAA,111,0,2451365.6047
66,0.073203,66,67,,18 46 44.42,-03 24 04.96,0.7,1.3,61.5,0.6,M4,---,Simbad,281.68508333333324,-3.401377777777778,18464441-0324049,281.685063,-3.401379,0.06,0.06,90,9.364,6.42,5.033,0.023,0.023,0.018,AAA,211,0,2451400.5343
67,0.055134,67,68,,18 46 44.80,-03 03 32.19,1.2,3.1,54.0,0.4,M2,---,Simbad,281.6866666666666,-3.0589416666666667,18464480-0303321,281.686682,-3.058942,0.06,0.06,90,7.991,5.787,4.763,0.02,0.027,0.016,AAA,111,0,2451400.5346
68,0.032505,68,69,,18 47 53.58,-01 47 15.08,0.3,2.3,53.3,0.5,M2,---,Simbad,281.97325,-1.787522222222222,18475357-0147150,281.973241,-1.787523,0.06,0.06,90,8.963,6.451,5.3,0.023,0.029,0.026,AAA,111,0,2451400.5452
69,0.072037,69,70,,18 48 29.97,-02 11 50.01,1.4,1.4,51.7,0.6,M1.5,---,Simbad,282.124875,-2.197225,18482997-0211500,282.124895,-2.197226,0.06,0.06,90,8.149,5.922,4.797,0.03,0.04,0.017,AAA,111,0,2451279.8905
70,0.038516,70,71,,18 53 57.32,+01 41 27.11,5.9,2.8,42.2,0.6,K5,M6.5,Simbad,283.4888333333333,1.690863888888889,18535732+0141271,283.488844,1.690863,0.06,0.06,90,7.36,5.546,4.684,0.018,0.023,0.017,AAA,111,0,2451400.5815
71,0.032385,71,72,,18 54 34.44,+01 53 04.60,4.7,1.6,50.0,0.8,M1,---,Simbad,283.64349999999996,1.884611111111111,18543443+0153045,283.643491,1.884611,0.06,0.06,90,10.28,7.101,5.504,0.021,0.04,0.024,AAA,211,0,2451400.5845
